Stable Fund,BID,OFFER
	2020-07-15,12.81	,12.81	
	2020-07-16,12.77	,12.77	
	2020-07-17,12.78	,12.78	
	2020-07-20,12.82	,12.82	
	2020-07-21,12.90	,12.90	
	2020-07-22,12.90	,12.90	
	2020-07-23,12.92	,12.92	
	2020-07-24,12.86	,12.86	
	2020-07-27,12.92	,12.92	
	2020-07-28,12.94	,12.94	
	2020-07-29,12.96	,12.96	
	2020-07-30,12.96	,12.96	
	2020-07-31,12.96	,12.96	
	2020-08-03,12.96	,12.96	
	2020-08-04,13.03	,13.03	
	2020-08-05,13.09	,13.09	
	2020-08-06,13.08	,13.08	
	2020-08-07,13.03	,13.03	
	2020-08-10,13.02	,13.02	
	2020-08-11,13.03	,13.03	
	2020-08-12,13.05	,13.05	
	2020-08-13,13.05	,13.05	
	2020-08-14,13.04	,13.04	
	2020-08-17,13.09	,13.09	
	2020-08-18,13.13	,13.13	
	2020-08-19,13.10	,13.10	
	2020-08-20,13.05	,13.05	
	2020-08-21,13.06	,13.06	
	2020-08-24,13.13	,13.13	
	2020-08-25,13.12	,13.12	
	2020-08-26,13.14	,13.14	
	2020-08-27,13.11	,13.11	
	2020-08-28,13.17	,13.17	
	2020-08-31,13.17	,13.17	
	2020-09-01,13.20	,13.20	
	2020-09-02,13.20	,13.20	
	2020-09-03,13.17	,13.17	
	2020-09-04,13.07	,13.07	
	2020-09-07,13.07	,13.07	
	2020-09-08,13.03	,13.03	
	2020-09-09,13.04	,13.04	
	2020-09-10,13.03	,13.03	
	2020-09-11,13.06	,13.06	
	2020-09-14,13.12	,13.12	
	2020-09-15,13.13	,13.13	
	2020-09-16,13.15	,13.15	
	2020-09-17,13.10	,13.10	
	2020-09-18,13.12	,13.12	
	2020-09-21,13.01	,13.01	
	2020-09-22,12.98	,12.98	
	2020-09-23,12.97	,12.97	
	2020-09-24,12.90	,12.90	
	2020-09-25,12.91	,12.91	
	2020-09-28,12.97	,12.97	
	2020-09-29,12.99	,12.99	
	2020-09-30,13.00	,13.00	
	2020-10-05,13.05	,13.05	
	2020-10-06,13.07	,13.07	
	2020-10-07,13.07	,13.07	
	2020-10-08,13.11	,13.11	
	2020-10-09,13.15	,13.15	
	2020-10-12,13.21	,13.21	
	2020-10-14,13.21	,13.21	
	2020-10-15,13.12	,13.12	
	2020-10-16,13.14	,13.14	
	2020-10-19,13.14	,13.14	
	2020-10-20,13.15	,13.15	
	2020-10-21,13.17	,13.17	
	2020-10-22,13.12	,13.12	
	2020-10-23,13.13	,13.13	
	2020-10-27,13.12	,13.12	
	2020-10-28,13.03	,13.03	
	2020-10-29,13.00	,13.00	
	2020-10-30,12.92	,12.92	
	2020-11-02,12.98	,12.98	
	2020-11-03,13.08	,13.08	
	2020-11-04,13.16	,13.16	
	2020-11-05,13.32	,13.32	
	2020-11-06,13.32	,13.32	
	2020-11-09,13.34	,13.34	
	2020-11-10,13.32	,13.32	
	2020-11-11,13.30	,13.30	
	2020-11-12,13.34	,13.34	
	2020-11-13,13.36	,13.36	
	2020-11-16,13.43	,13.43	
	2020-11-17,13.45	,13.45	
	2020-11-18,13.46	,13.46	
	2020-11-19,13.44	,13.44	
	2020-11-20,13.48	,13.48	
	2020-11-23,13.47	,13.47	
	2020-11-24,13.51	,13.51	
	2020-11-25,13.51	,13.51	
	2020-11-26,13.54	,13.54	
	2020-11-27,13.59	,13.59	
	2020-11-30,13.52	,13.52	
	2020-12-01,13.56	,13.56	
	2020-12-02,13.54	,13.54	
	2020-12-03,13.63	,13.63	
	2020-12-04,13.62	,13.62	
	2020-12-07,13.62	,13.62	
	2020-12-08,13.63	,13.63	
	2020-12-09,13.63	,13.63	
	2020-12-10,13.64	,13.64	
	2020-12-11,13.65	,13.65	
	2020-12-14,13.64	,13.64	
	2020-12-15,13.66	,13.66	
	2020-12-16,13.69	,13.69	
	2020-12-17,13.74	,13.74	
	2020-12-18,13.71	,13.71	
	2020-12-21,13.67	,13.67	
	2020-12-22,13.65	,13.65	
	2020-12-23,13.68	,13.68	
	2020-12-24,13.69	,13.69	
	2020-12-28,13.69	,13.69	
	2020-12-29,13.75	,13.75	
	2020-12-30,13.82	,13.82	
	2020-12-31,13.83	,13.83	
	2021-01-04,13.85	,13.85	
	2021-01-05,13.85	,13.85	
	2021-01-06,13.83	,13.83	
	2021-01-07,13.83	,13.83	
	2021-01-08,13.89	,13.89	
	2021-01-11,13.82	,13.82	
	2021-01-12,13.83	,13.83	
	2021-01-13,13.86	,13.86	
	2021-01-14,13.88	,13.88	
	2021-01-15,13.84	,13.84	
	2021-01-18,13.84	,13.84	
	2021-01-19,13.92	,13.92	
	2021-01-20,13.97	,13.97	
	2021-01-21,13.99	,13.99	
	2021-01-22,13.94	,13.94	
	2021-01-25,14.02	,14.02	
	2021-01-26,13.98	,13.98	
	2021-01-27,13.90	,13.90	
	2021-01-28,13.84	,13.84	
	2021-01-29,13.78	,13.78	
	2021-02-01,13.82	,13.82	
