Balanced Fund,BID,OFFER
	2020-08-07,20.69	,20.69	
	2020-08-10,20.66	,20.66	
	2020-08-11,20.78	,20.78	
	2020-08-12,20.88	,20.88	
	2020-08-13,20.90	,20.90	
	2020-08-14,20.86	,20.86	
	2020-08-17,20.96	,20.96	
	2020-08-18,21.05	,21.05	
	2020-08-19,20.99	,20.99	
	2020-08-20,20.83	,20.83	
	2020-08-21,20.90	,20.90	
	2020-08-24,21.14	,21.14	
	2020-08-25,21.15	,21.15	
	2020-08-26,21.24	,21.24	
	2020-08-27,21.22	,21.22	
	2020-08-28,21.29	,21.29	
	2020-08-31,21.21	,21.21	
	2020-09-01,21.28	,21.28	
	2020-09-02,21.36	,21.36	
	2020-09-03,21.20	,21.20	
	2020-09-04,20.96	,20.96	
	2020-09-07,20.97	,20.97	
	2020-09-08,20.82	,20.82	
	2020-09-09,20.87	,20.87	
	2020-09-10,20.80	,20.80	
	2020-09-11,20.88	,20.88	
	2020-09-14,21.05	,21.05	
	2020-09-15,21.10	,21.10	
	2020-09-16,21.17	,21.17	
	2020-09-17,21.01	,21.01	
	2020-09-18,21.03	,21.03	
	2020-09-21,20.72	,20.72	
	2020-09-22,20.66	,20.66	
	2020-09-23,20.66	,20.66	
	2020-09-24,20.44	,20.44	
	2020-09-25,20.48	,20.48	
	2020-09-28,20.68	,20.68	
	2020-09-29,20.68	,20.68	
	2020-09-30,20.74	,20.74	
	2020-10-05,20.94	,20.94	
	2020-10-06,20.98	,20.98	
	2020-10-07,21.08	,21.08	
	2020-10-08,21.17	,21.17	
	2020-10-09,21.26	,21.26	
	2020-10-12,21.42	,21.42	
	2020-10-14,21.39	,21.39	
	2020-10-15,21.13	,21.13	
	2020-10-16,21.20	,21.20	
	2020-10-19,21.19	,21.19	
	2020-10-20,21.21	,21.21	
	2020-10-21,21.26	,21.26	
	2020-10-22,21.21	,21.21	
	2020-10-23,21.23	,21.23	
	2020-10-27,21.06	,21.06	
	2020-10-28,20.82	,20.82	
	2020-10-29,20.84	,20.84	
	2020-10-30,20.60	,20.60	
	2020-11-02,20.80	,20.80	
	2020-11-03,21.08	,21.08	
	2020-11-04,21.26	,21.26	
	2020-11-05,21.71	,21.71	
	2020-11-06,21.73	,21.73	
	2020-11-09,21.98	,21.98	
	2020-11-10,21.94	,21.94	
	2020-11-11,21.91	,21.91	
	2020-11-12,21.92	,21.92	
	2020-11-13,22.01	,22.01	
	2020-11-16,22.21	,22.21	
	2020-11-17,22.22	,22.22	
	2020-11-18,22.24	,22.24	
	2020-11-19,22.15	,22.15	
	2020-11-20,22.24	,22.24	
	2020-11-23,22.28	,22.28	
	2020-11-24,22.43	,22.43	
	2020-11-25,22.38	,22.38	
	2020-11-26,22.46	,22.46	
	2020-11-27,22.57	,22.57	
	2020-11-30,22.31	,22.31	
	2020-12-01,22.50	,22.50	
	2020-12-02,22.46	,22.46	
	2020-12-03,22.60	,22.60	
	2020-12-04,22.68	,22.68	
	2020-12-07,22.62	,22.62	
	2020-12-08,22.63	,22.63	
	2020-12-09,22.65	,22.65	
	2020-12-10,22.62	,22.62	
	2020-12-11,22.63	,22.63	
	2020-12-14,22.61	,22.61	
	2020-12-15,22.64	,22.64	
	2020-12-16,22.76	,22.76	
	2020-12-17,22.90	,22.90	
	2020-12-18,22.83	,22.83	
	2020-12-21,22.70	,22.70	
	2020-12-22,22.62	,22.62	
	2020-12-23,22.76	,22.76	
	2020-12-24,22.76	,22.76	
	2020-12-28,22.76	,22.76	
	2020-12-29,22.95	,22.95	
	2020-12-30,23.13	,23.13	
	2020-12-31,23.15	,23.15	
	2021-01-04,23.20	,23.20	
	2021-01-05,23.26	,23.26	
	2021-01-06,23.31	,23.31	
	2021-01-07,23.39	,23.39	
	2021-01-08,23.59	,23.59	
	2021-01-11,23.48	,23.48	
	2021-01-12,23.54	,23.54	
	2021-01-13,23.59	,23.59	
	2021-01-14,23.68	,23.68	
	2021-01-15,23.56	,23.56	
	2021-01-18,23.60	,23.60	
	2021-01-19,23.82	,23.82	
	2021-01-20,24.03	,24.03	
	2021-01-21,24.11	,24.11	
	2021-01-22,23.94	,23.94	
	2021-01-25,24.17	,24.17	
	2021-01-26,23.97	,23.97	
	2021-01-27,23.75	,23.75	
	2021-01-28,23.51	,23.51	
	2021-01-29,23.29	,23.29	
	2021-02-01,23.57	,23.57	
