Hang Seng Index Tracking Fund,BID,OFFER
	2020-07-16,25.46	,25.46	
	2020-07-17,25.58	,25.58	
	2020-07-20,25.55	,25.55	
	2020-07-21,26.12	,26.12	
	2020-07-22,25.55	,25.55	
	2020-07-23,25.75	,25.75	
	2020-07-24,25.19	,25.19	
	2020-07-27,25.09	,25.09	
	2020-07-28,25.26	,25.26	
	2020-07-29,25.37	,25.37	
	2020-07-30,25.23	,25.23	
	2020-07-31,25.08	,25.08	
	2020-08-03,24.94	,24.94	
	2020-08-04,25.43	,25.43	
	2020-08-05,25.59	,25.59	
	2020-08-06,25.41	,25.41	
	2020-08-07,25.04	,25.04	
	2020-08-10,24.85	,24.85	
	2020-08-11,25.34	,25.34	
	2020-08-12,25.73	,25.73	
	2020-08-13,25.71	,25.71	
	2020-08-14,25.67	,25.67	
	2020-08-17,25.83	,25.83	
	2020-08-18,25.85	,25.85	
	2020-08-19,25.66	,25.66	
	2020-08-20,25.31	,25.31	
	2020-08-21,25.60	,25.60	
	2020-08-24,26.01	,26.01	
	2020-08-25,25.97	,25.97	
	2020-08-26,25.98	,25.98	
	2020-08-27,25.79	,25.79	
	2020-08-28,25.93	,25.93	
	2020-08-31,25.69	,25.69	
	2020-09-01,25.71	,25.71	
	2020-09-02,25.65	,25.65	
	2020-09-03,25.55	,25.55	
	2020-09-04,25.27	,25.27	
	2020-09-07,25.14	,25.14	
	2020-09-08,25.17	,25.17	
	2020-09-09,25.02	,25.02	
	2020-09-10,24.86	,24.86	
	2020-09-11,25.05	,25.05	
	2020-09-14,25.19	,25.19	
	2020-09-15,25.29	,25.29	
	2020-09-16,25.30	,25.30	
	2020-09-17,24.91	,24.91	
	2020-09-18,25.03	,25.03	
	2020-09-21,24.52	,24.52	
	2020-09-22,24.28	,24.28	
	2020-09-23,24.31	,24.31	
	2020-09-24,23.88	,23.88	
	2020-09-25,23.80	,23.80	
	2020-09-28,24.04	,24.04	
	2020-09-29,23.88	,23.88	
	2020-09-30,24.03	,24.03	
	2020-10-05,24.34	,24.34	
	2020-10-06,24.56	,24.56	
	2020-10-07,24.83	,24.83	
	2020-10-08,24.78	,24.78	
	2020-10-09,24.70	,24.70	
	2020-10-12,25.21	,25.21	
	2020-10-14,25.26	,25.26	
	2020-10-15,24.74	,24.74	
	2020-10-16,24.98	,24.98	
	2020-10-19,25.13	,25.13	
